cpt_hcpcs,place_of_service,site_of_service,scenario,locality_code,locality_name,work_rvu,pe_rvu_used,mp_rvu,work_gpci,pe_gpci,mp_gpci,conversion_factor,expected_allowed_2026,mpfs_source_url,locality_source_url
99214,11,NONFACILITY,nonfacility office E/M,31,AUSTIN,1.92,2.00,0.14,1.002,1.058,0.886,33.4009,139.08,https://www.cms.gov/files/zip/rvu26a-updated-12-29-2025.zip,https://www.cms.gov/files/zip/zip-code-carrier-locality-file-revised-02-18-2026.zip
99214,22,FACILITY,facility outpatient E/M,31,AUSTIN,1.92,0.47,0.14,1.002,1.058,0.886,33.4009,85.01,https://www.cms.gov/files/zip/rvu26a-updated-12-29-2025.zip,https://www.cms.gov/files/zip/zip-code-carrier-locality-file-revised-02-18-2026.zip
93000,11,NONFACILITY,office ECG,31,AUSTIN,0.17,0.27,0.02,1.002,1.058,0.886,33.4009,15.82,https://www.cms.gov/files/zip/rvu26a-updated-12-29-2025.zip,https://www.cms.gov/files/zip/zip-code-carrier-locality-file-revised-02-18-2026.zip
20610,11,NONFACILITY,office arthrocentesis/injection,31,AUSTIN,0.77,1.16,0.13,1.002,1.058,0.886,33.4009,70.61,https://www.cms.gov/files/zip/rvu26a-updated-12-29-2025.zip,https://www.cms.gov/files/zip/zip-code-carrier-locality-file-revised-02-18-2026.zip
20610,22,FACILITY,facility arthrocentesis/injection,31,AUSTIN,0.77,0.29,0.13,1.002,1.058,0.886,33.4009,39.87,https://www.cms.gov/files/zip/rvu26a-updated-12-29-2025.zip,https://www.cms.gov/files/zip/zip-code-carrier-locality-file-revised-02-18-2026.zip
12002,11,NONFACILITY,office laceration repair,31,AUSTIN,1.11,2.82,0.24,1.002,1.058,0.886,33.4009,143.91,https://www.cms.gov/files/zip/rvu26a-updated-12-29-2025.zip,https://www.cms.gov/files/zip/zip-code-carrier-locality-file-revised-02-18-2026.zip
12002,22,FACILITY,facility laceration repair,31,AUSTIN,1.11,0.37,0.24,1.002,1.058,0.886,33.4009,57.33,https://www.cms.gov/files/zip/rvu26a-updated-12-29-2025.zip,https://www.cms.gov/files/zip/zip-code-carrier-locality-file-revised-02-18-2026.zip
45380,22,FACILITY,facility colonoscopy with biopsy,31,AUSTIN,3.47,1.43,0.42,1.002,1.058,0.886,33.4009,179.10,https://www.cms.gov/files/zip/rvu26a-updated-12-29-2025.zip,https://www.cms.gov/files/zip/zip-code-carrier-locality-file-revised-02-18-2026.zip
93000,22,FACILITY,facility ECG,31,AUSTIN,0.17,0.27,0.02,1.002,1.058,0.886,33.4009,15.82,https://www.cms.gov/files/zip/rvu26a-updated-12-29-2025.zip,https://www.cms.gov/files/zip/zip-code-carrier-locality-file-revised-02-18-2026.zip
45380,11,NONFACILITY,nonfacility colonoscopy with biopsy,31,AUSTIN,3.47,10.48,0.42,1.002,1.058,0.886,33.4009,498.91,https://www.cms.gov/files/zip/rvu26a-updated-12-29-2025.zip,https://www.cms.gov/files/zip/zip-code-carrier-locality-file-revised-02-18-2026.zip
